X,Y
9.65127087,14.78445816
9.7286595,14.87290174
9.89939206,14.88153784
10.17849211,14.85523406
10.55524033,14.6774104
10.92815377,14.37328791
11.27390579,13.96386042
11.68611513,13.46295761
12.17304523,13.02818226
12.80859864,12.67935739
13.47583738,12.33726607
13.94278729,11.97923895
14.32311194,11.58489505
14.66078811,11.11973723
14.98094627,10.63152389
15.41099532,10.18833285
15.9018758,9.84989446
16.31806656,9.49865034
16.58807744,9.08742512
16.80245001,8.7349712
17.02327583,8.48478428
17.24248891,8.3260991
17.39030144,8.10278533
17.28729528,7.57414432
17.13808335,7.11480452
17.14358692,6.92794431
17.18857956,6.8051815
