X,Y
17.18857956,6.8051815
17.18673342,6.92042452
17.14187698,7.06004071
17.07254334,7.32717559
17.01561446,7.72787635
17.03494983,8.10969756
17.10087187,8.36953442
17.15545429,8.64000031
17.19985167,9.06402904
17.23915546,9.57235724
17.34577577,10.1092143
17.53941365,10.72522836
17.65468119,11.38437408
17.63108765,11.84377238
17.53155912,12.11343676
17.43273255,12.30638798
17.36737452,12.44539762
17.31942618,12.54984029
17.24607786,12.67194321
17.06086539,12.95947793
16.58270623,13.87723025
15.26544627,15.36395962
14.53018155,15.44272231
14.3254603,15.3231988
14.20581356,15.24601454
14.10558208,15.196604
13.98944187,15.15773106
