X,Y
18.13100243,11.98652554
17.96390339,12.05833985
17.7908321,12.13875483
17.63497787,12.23547313
17.51903448,12.33233905
17.44505476,12.41261609
17.40188708,12.47142144
17.37689949,12.51305513
17.35981251,12.54505378
17.34222179,12.5757174
17.31516619,12.61582129
17.26522308,12.68402804
17.16796221,12.82170901
16.97766894,13.13436698
16.62695697,13.81376902
15.93218849,14.83447418
14.96139209,15.43628433
14.57460236,15.4247115
14.40126103,15.3570588
14.3024187,15.3028041
14.23932578,15.26480294
14.19514638,15.23846145
14.16024931,15.21927465
14.12780548,15.20403211
14.09212847,15.19004285
14.04782339,15.1753025
13.98944187,15.15773106
