X,Y
18.13100243,11.98652554
17.87993284,12.11319304
17.64026511,12.26174059
17.46900408,12.41949488
17.35988908,12.55677795
17.24625389,12.71052064
17.02058865,13.04639086
16.52290353,13.97997364
15.25400965,15.33709624
14.53694101,15.41871901
14.30342475,15.30748146
14.13566803,15.24276281
13.96497196,15.22113043
13.76978677,15.23087689
13.54357476,15.25445682
13.27422823,15.26043335
12.93434152,15.20755496
12.50441912,15.11914684
12.0786519,15.10637184
11.78863248,15.16300969
11.60127311,15.20070419
11.34219692,15.16990314
10.91177385,15.0278197
10.46068423,14.87001759
10.10172015,14.80580999
9.85214298,14.78511401
9.65127087,14.78445816
